Player,Salary
Stephen Curry,"$51,915,615 "
Kevin Durant,"$47,649,433 "
LeBron James,"$47,607,350 "
Nikola Jokic,"$47,607,350 "
Joel Embiid,"$46,900,000 "
Bradley Beal,"$46,741,590 "
Giannis Antetokounmpo,"$45,640,084 "
Damian Lillard,"$45,640,084 "
Kawhi Leonard,"$45,640,084 "
Paul George,"$45,640,084 "
Jimmy Butler,"$45,183,960 "
Klay Thompson,"$43,219,440 "
Rudy Gobert,"$41,000,000 "
Fred VanVleet,"$40,806,300 "
Anthony Davis,"$40,600,080 "
Luka Doncic,"$40,064,220 "
Zach LaVine,"$40,064,220 "
Trae Young,"$40,064,220 "
Tobias Harris,"$39,270,150 "
Ben Simmons,"$37,893,408 "
Pascal Siakam,"$37,893,408 "
Kyrie Irving,"$37,037,037 "
Jrue Holiday,"$36,861,707 "
Devin Booker,"$36,016,200 "
Karl-Anthony Towns,"$36,016,200 "
Kristaps Porzingis,"$36,016,200 "
CJ McCollum,"$35,802,469 "
James Harden,"$35,640,000 "
Ja Morant,"$34,005,250 "
Darius Garland,"$34,005,250 "
Zion Williamson,"$34,005,250 "
Jamal Murray,"$33,833,400 "
Brandon Ingram,"$33,833,400 "
Shai Gilgeous-Alexander,"$33,386,850 "
Michael Porter Jr.,"$33,386,850 "
Donovan Mitchell,"$33,162,030 "
De'Aaron Fox,"$32,600,060 "
Bam Adebayo,"$32,600,060 "
Jayson Tatum,"$32,600,060 "
Deandre Ayton,"$32,459,438 "
Jaylen Brown,"$31,830,357 "
Gordon Hayward,"$31,500,000 "
Chris Paul,"$30,800,000 "
Domantas Sabonis,"$30,600,000 "
Khris Middleton,"$29,320,988 "
DeMar DeRozan,"$28,600,000 "
Julius Randle,"$28,226,880 "
Jordan Poole,"$27,955,357 "
Jerami Grant,"$27,586,207 "
Jaren Jackson Jr.,"$27,102,202 "
Tyler Herro,"$27,000,000 "
Jalen Brunson,"$26,346,666 "
Cameron Johnson,"$25,679,348 "
Kyle Kuzma,"$25,568,182 "
John Collins,"$25,340,000 "
Brook Lopez,"$25,000,000 "
Mike Conley,"$24,360,000 "
Andrew Wiggins,"$24,330,357 "
Anfernee Simons,"$24,107,143 "
RJ Barrett,"$23,883,929 "
Jordan Clarkson,"$23,487,629 "
Dillon Brooks,"$22,627,671 "
Malcolm Brogdon,"$22,500,000 "
Draymond Green,"$22,321,429 "
Aaron Gordon,"$22,266,182 "
Terry Rozier,"$22,205,221 "
Bruce Brown,"$22,000,000 "
Mikal Bridges,"$21,700,000 "
Myles Turner,"$20,975,000 "
Clint Capela,"$20,616,000 "
Lonzo Ball,"$20,465,117 "
De'Andre Hunter,"$20,089,286 "
Keldon Johnson,"$20,000,000 "
