Year,Player,Age,Team,G,GS,Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2023-2024,DeMar DeRozan,34,CHI,79,79,2989,19.7,0.584,0.166,0.452,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,7,2.2,9.2,0.147,2.1,-0.3,1.8,2.8
2023-2024,Domantas Sabonis,27,SAC,82,82,2928,23.2,0.637,0.081,0.389,11,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4,12.6,0.206,4,2.4,6.5,6.2
2023-2024,Coby White,23,CHI,79,78,2881,14.5,0.57,0.46,0.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9
2023-2024,Mikal Bridges,27,BRK,82,82,2854,14.9,0.56,0.457,0.245,2.5,12,7.1,16.3,1.4,0.9,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1,-0.4,1.2
2023-2024,Paolo Banchero,21,ORL,80,80,2799,17.3,0.546,0.249,0.397,3.4,20,11.6,25.2,1.3,1.6,13,29.7,1.3,4,5.3,0.09,1.3,0,1.3,2.3
2023-2024,Kevin Durant,35,PHO,75,75,2791,21.2,0.626,0.283,0.295,1.7,17.5,10,22.2,1.2,2.9,13.1,29,5.1,3.2,8.3,0.142,4,0.1,4,4.3
2023-2024,Dejounte Murray,27,ATL,78,78,2783,17.7,0.555,0.379,0.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6
2023-2024,Anthony Edwards,22,MIN,79,78,2770,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7
2023-2024,Nikola Jokic,28,DEN,79,79,2737,31,0.65,0.164,0.31,9.3,29.6,19.8,42,2,2.1,12.9,29.3,12,5.1,17,0.299,9,4.2,13.2,10.6
2023-2024,Jalen Brunson,27,NYK,77,77,2726,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4
2023-2024,Josh Hart,28,NYK,81,42,2707,11.8,0.522,0.38,0.169,5.3,22.8,14,16.3,1.4,0.8,13.9,13.5,2,3.6,5.7,0.1,-1.3,1.4,0,1.4
2023-2024,Anthony Davis,30,LAL,76,76,2700,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9
2023-2024,Fred VanVleet,29,HOU,73,73,2684,16.7,0.568,0.576,0.225,1.3,9.9,5.6,31.1,1.8,2,10.1,19.7,5.3,3.1,8.4,0.15,2.6,0.8,3.4,3.6
2023-2024,De'Aaron Fox,26,SAC,74,74,2659,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2
2023-2024,Pascal Siakam,29,TOR,39,39,1354,18.8,0.6,0.233,0.358,4.3,15.9,10,22.1,1.1,0.7,10.3,25.3,2.4,0.6,3,0.106,2.2,-0.8,1.4,1.2
2023-2024,Pascal Siakam,29,IND,41,41,1303,20.7,0.602,0.156,0.267,7.4,20.3,13.9,16.5,1.1,0.9,7.4,25.2,3,0.9,3.9,0.143,3,-0.5,2.5,1.5
2023-2024,Jayson Tatum,25,BOS,74,74,2645,22.3,0.604,0.427,0.349,2.9,20.9,12.3,21,1.4,1.4,10.3,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7
2023-2024,Austin Reaves,25,LAL,82,57,2629,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2,5.9,0.108,0.9,-0.4,0.4,1.6
2023-2024,Tyrese Maxey,23,PHI,70,70,2626,19.8,0.573,0.401,0.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28,5.9,2.1,8.1,0.147,4.1,-1,3.1,3.4
2023-2024,Luka Doncic,24,DAL,70,70,2624,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36,8.5,3.5,12,0.22,8.3,1.7,9.9,8
2023-2024,Nikola Vucevic,33,CHI,76,74,2610,17.7,0.54,0.258,0.107,8.8,25.8,17.1,15.2,1,2.4,8.6,23.3,2.7,2.8,5.4,0.1,0.8,-0.7,0.1,1.4
2023-2024,Jalen Green,21,HOU,82,82,2601,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1
2023-2024,Rudy Gobert,31,MIN,76,76,2593,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1,5.5,13.1,15.4,5.8,5.8,11.6,0.216,0.1,1.7,1.8,2.5
2023-2024,Keegan Murray,23,SAC,77,77,2588,13.3,0.569,0.524,0.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8
2023-2024,Miles Bridges,25,CHO,69,67,2581,15.4,0.556,0.372,0.174,3,19.5,11,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,0.04,0.2,-1.3,-1.1,0.6
2023-2024,Damian Lillard,33,MIL,73,73,2579,19.6,0.59,0.487,0.403,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,5.8,1.9,7.7,0.143,3.4,-1.3,2.1,2.7
2023-2024,Giannis Antetokounmpo,29,MIL,73,73,2567,29.9,0.649,0.091,0.571,8.6,27,17.9,32.7,1.6,2.6,12.7,33,9.5,3.7,13.2,0.246,6.7,2.4,9,7.2
2023-2024,Michael Porter Jr.,25,DEN,81,81,2565,15.5,0.601,0.513,0.102,4.7,19.3,12.2,6.7,0.8,1.8,7.5,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3
2023-2024,Shai Gilgeous-Alexander,25,OKC,75,75,2553,29.3,0.636,0.181,0.436,3,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9,7.1
2023-2024,Grayson Allen,28,PHO,75,74,2513,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2
2023-2024,LeBron James,39,LAL,71,71,2504,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4
2023-2024,Paul George,33,LAC,74,74,2502,19.3,0.613,0.476,0.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,0.14,2.9,0.2,3.2,3.3
2023-2024,Dennis Schroder,30,TOR,51,33,1559,13.9,0.559,0.394,0.267,1.5,8.5,4.9,28,1.4,0.5,11.7,19.4,2,0.5,2.5,0.076,-0.5,-1.3,-1.8,0.1
2023-2024,Dennis Schroder,30,BRK,29,25,927,12.3,0.535,0.402,0.174,1.9,10.3,6,28,0.9,0.9,15,21.8,0.3,0.5,0.8,0.042,-0.5,-1.4,-1.9,0
2023-2024,D'Angelo Russell,27,LAL,76,69,2484,16,0.588,0.505,0.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23,3.3,1.8,5.1,0.099,1.7,-0.8,0.9,1.8
2023-2024,James Harden,34,LAC,72,72,2470,18.6,0.612,0.594,0.418,1.6,14.8,8.4,33.6,1.5,2.1,16,20.6,5.9,2.5,8.4,0.163,3.8,0.3,4.1,3.8
2023-2024,Devin Booker,27,PHO,68,68,2447,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1,10.6,29.8,7.2,2,9.2,0.181,4,-1,3,3.1
2023-2024,Jarrett Allen,25,CLE,77,77,2442,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3,3.1
2023-2024,Jabari Smith Jr.,20,HOU,76,76,2424,13.8,0.571,0.456,0.222,6.1,21.3,13.6,7.1,1,2.3,8.9,17.6,2.4,3.2,5.6,0.111,-0.5,0.1,-0.4,1
2023-2024,Stephen Curry,35,GSW,74,74,2421,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1,11.7,31.3,5.2,2,7.2,0.142,6.3,-1.1,5.2,4.4
2023-2024,Bam Adebayo,26,MIA,71,71,2416,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7
2023-2024,Chet Holmgren,21,OKC,82,82,2413,20.4,0.632,0.366,0.289,6.2,23.1,15,11.6,1.1,7.3,10.9,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3
2023-2024,Brook Lopez,35,MIL,79,79,2411,14.8,0.608,0.535,0.177,5.4,13,9.3,7.1,0.9,6.7,8.8,16,3.1,2.8,5.9,0.117,0.2,0.8,1,1.8
2023-2024,Kentavious Caldwell-Pope,30,DEN,76,76,2402,10.7,0.602,0.525,0.193,1.5,6.8,4.2,9.5,2,1.5,10.5,12.9,2.2,2.6,4.8,0.096,-2.1,0.7,-1.4,0.4
