Year,Player,Age,Team,G,GS,Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2023-2024,Bogdan Bogdanovic,31,ATL,79,33,2401,14.7,0.569,0.583,0.149,2.3,10.3,6.2,14.9,1.9,1,8.7,22.3,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4
2023-2024,Brandon Miller,21,CHO,74,68,2383,13,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1,0.8,0.015,-0.9,-1.6,-2.6,-0.3
2023-2024,Harrison Barnes,31,SAC,82,82,2381,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1
2023-2024,Derrick White,29,BOS,73,73,2381,16.9,0.611,0.59,0.181,2.4,11.3,7,21.2,1.5,3.2,11,18.6,5.2,3.3,8.5,0.171,2.4,1.4,3.8,3.5
2023-2024,Tobias Harris,31,PHI,70,70,2368,16.5,0.576,0.271,0.224,3.7,17.7,10.6,13.8,1.5,1.8,8.2,20.7,3.2,2.7,5.9,0.121,1,-0.1,0.9,1.7
2023-2024,Donte DiVincenzo,27,NYK,81,63,2360,16,0.597,0.702,0.114,3,11.2,7.1,13.7,2.3,1.4,9.7,21.3,3.6,3,6.6,0.135,2.5,0.9,3.4,3.2
2023-2024,Jordan Poole,24,WAS,78,66,2346,12.1,0.529,0.476,0.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,-1.5,0.8,-0.6,-0.013,-2,-1.9,-3.9,-1.2
2023-2024,Jaylen Brown,27,BOS,70,70,2343,18.6,0.58,0.326,0.239,4,13.4,8.9,16.6,1.8,1.4,10.7,28.9,2.7,3.2,5.9,0.121,0.9,-0.1,0.7,1.6
2023-2024,Malik Beasley,27,MIL,79,77,2337,10.3,0.603,0.751,0.048,2,11.4,6.8,6.1,1.2,0.3,6.8,14.6,1.9,1.6,3.5,0.073,-1,-0.8,-1.8,0.1
2023-2024,Franz Wagner,22,ORL,72,72,2337,17.6,0.575,0.305,0.291,3.6,15.7,9.6,18.8,1.6,1.1,10,25.7,3.1,3.2,6.4,0.131,0.9,0.3,1.2,1.9
2023-2024,Kawhi Leonard,32,LAC,68,68,2330,23.2,0.626,0.289,0.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,6,2.9,8.9,0.184,4.8,0.6,5.5,4.4
2023-2024,Herbert Jones,25,NOP,76,76,2321,13.2,0.636,0.464,0.269,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,3.3,3,6.3,0.131,-0.9,1.5,0.6,1.6
2023-2024,Aaron Gordon,28,DEN,73,73,2297,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9
2023-2024,Klay Thompson,33,GSW,77,63,2284,13.9,0.576,0.611,0.121,1.7,10.2,6,11.2,1.1,1.4,8.9,24.2,1.8,1.7,3.6,0.075,1.1,-1.5,-0.4,0.9
2023-2024,Kyle Kuzma,28,WAS,70,70,2281,15.7,0.547,0.343,0.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1,1.1,0.2,0.004,0.5,-1.6,-1.1,0.5
2023-2024,Jrue Holiday,33,BOS,69,69,2263,14.4,0.597,0.467,0.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,3.3,3,6.3,0.133,1,1.1,2.1,2.4
2023-2024,Deni Avdija,23,WAS,75,75,2257,14.9,0.597,0.293,0.34,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,0.068,-0.7,-0.2,-0.9,0.6
2023-2024,Devin Vassell,23,SAS,68,62,2248,15.7,0.578,0.422,0.19,1.3,11.3,6.3,19.1,1.5,0.8,8.6,23.5,2,1.6,3.6,0.077,0.9,-0.9,0,1.1
2023-2024,Luguentz Dort,24,OKC,79,79,2246,11.1,0.593,0.603,0.236,3.8,10,7,6.3,1.5,1.9,9.3,15.4,2,2.5,4.6,0.097,-1.4,-0.2,-1.6,0.2
2023-2024,Max Strus,27,CLE,70,70,2239,11.7,0.553,0.658,0.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,1.2,2.6,3.9,0.083,-1.1,0.5,-0.6,0.8
2023-2024,Dillon Brooks,28,HOU,72,72,2227,9.4,0.549,0.482,0.191,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,0.6,2.1,2.7,0.058,-3.3,-0.3,-3.6,-0.9
2023-2024,Tyrese Haliburton,23,IND,69,68,2224,23.3,0.605,0.51,0.217,1.8,12,6.9,44.9,1.8,1.7,12.2,24.6,7.6,1.5,9,0.195,7.3,-0.4,6.9,5
2023-2024,Jalen Williams,22,OKC,71,71,2223,19.1,0.621,0.243,0.223,1.9,11.8,7.1,21.3,1.7,1.9,10.1,23.7,4.5,2.7,7.3,0.157,2,0.3,2.3,2.4
2023-2024,P.J. Washington,25,CHO,44,17,1286,13,0.545,0.479,0.185,4.5,16.1,10.1,11.5,1.5,2.3,10.7,21.2,0,0.8,0.8,0.028,-1.7,-1.1,-2.8,-0.3
2023-2024,P.J. Washington,25,DAL,29,28,935,11,0.522,0.56,0.169,3.7,17.1,10.5,6.2,1.7,2.5,8.5,16.3,0,1.1,1.1,0.056,-1.8,0.7,-1.2,0.2
2023-2024,Jaden Ivey,21,DET,77,61,2217,12.4,0.536,0.379,0.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,-0.5,1,0.5,0.01,-1.4,-1.7,-3.1,-0.6
2023-2024,Ayo Dosunmu,24,CHI,76,37,2212,13.4,0.604,0.41,0.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,2.6,1.5,4.1,0.089,-0.6,-0.2,-0.8,0.7
2023-2024,Zion Williamson,23,NOP,70,70,2207,22.8,0.61,0.016,0.452,6.2,14.2,10.2,26.5,1.7,2.1,12.8,29.7,4.7,2.8,7.5,0.164,3.3,0.6,3.8,3.3
2023-2024,Mike Conley,36,MIN,76,76,2193,15.8,0.627,0.629,0.174,2,9,5.6,28.4,2,0.7,12.8,16,5,3.3,8.2,0.18,2,1.4,3.4,3
2023-2024,Jeremy Sochan,20,SAS,74,73,2193,11.4,0.513,0.293,0.186,6.7,16.9,11.7,16,1.3,1.5,14.3,18.8,-0.5,1.9,1.4,0.03,-2.8,-0.6,-3.4,-0.8
2023-2024,Buddy Hield,31,IND,52,28,1336,13.1,0.586,0.691,0.064,2.9,11.3,7.1,12.9,1.5,1.8,10.4,18.6,1.2,0.8,2,0.07,1,-0.8,0.2,0.7
2023-2024,Buddy Hield,31,PHI,32,14,824,13.6,0.566,0.634,0.078,3.6,10.2,6.8,17.1,1.6,1.2,10.6,20.2,0.7,0.8,1.5,0.088,1,-0.3,0.8,0.6
2023-2024,CJ McCollum,32,NOP,66,66,2159,17.9,0.592,0.528,0.132,2,12.6,7.4,21.4,1.4,1.9,9,24.7,3.5,2.4,5.9,0.132,3.3,-0.3,3.1,2.8
2023-2024,Spencer Dinwiddie,30,BRK,48,48,1474,13.5,0.53,0.557,0.321,1.9,10.1,5.9,27.5,1.3,0.6,9.8,18.6,2,0.9,2.9,0.095,-0.5,-0.8,-1.3,0.3
2023-2024,Spencer Dinwiddie,30,LAL,28,4,678,8,0.586,0.638,0.355,0.7,6.7,3.9,12.2,0.9,1.7,15.1,12.2,0.3,0.4,0.7,0.052,-3.2,-0.1,-3.2,-0.2
2023-2024,Tre Jones,24,SAS,77,48,2138,14.7,0.591,0.318,0.197,2.9,11.8,7.3,30.8,1.7,0.3,15.1,15.2,3.4,1.6,4.9,0.111,-0.4,0.1,-0.4,0.9
2023-2024,Grant Williams,25,DAL,47,33,1242,8.3,0.56,0.662,0.174,4.1,10.8,7.4,8.2,0.9,1.9,13.4,13.6,0.4,1,1.3,0.052,-2.7,-0.7,-3.4,-0.4
2023-2024,Grant Williams,25,CHO,29,10,888,13.9,0.618,0.438,0.295,4.9,14.2,9.4,15.7,1.1,1.3,14.7,19,0.9,0.3,1.3,0.07,-0.8,-0.7,-1.5,0.1
2023-2024,Jaren Jackson Jr.,24,MEM,66,66,2124,17.4,0.552,0.315,0.359,4.2,15,9.4,13.1,1.8,4.7,10.6,30.4,0.2,2.8,3,0.067,0,0.4,0.4,1.3
2023-2024,Tim Hardaway Jr.,31,DAL,79,12,2120,12.1,0.542,0.612,0.173,1.1,11.9,6.5,9.2,1,0.2,6.2,22.6,0.8,1.4,2.2,0.05,-0.8,-2.1,-2.9,-0.5
2023-2024,Nic Claxton,24,BRK,71,71,2116,18.7,0.629,0.009,0.337,9.7,27.3,18.2,10.4,1.1,6.2,12.2,15.6,3.5,3.2,6.7,0.152,-0.3,1.5,1.2,1.7
2023-2024,Jaime Jaquez Jr.,22,MIA,75,20,2113,12.9,0.574,0.29,0.251,4.4,11,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4,0.092,-2.2,0.3,-1.9,0.1
2023-2024,Taurean Prince,29,LAL,78,49,2108,8.8,0.579,0.622,0.119,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,0.3,1.7,1.9,0.043,-2.6,-0.2,-2.8,-0.4
2023-2024,Victor Wembanyama,20,SAS,71,71,2106,23.1,0.565,0.332,0.309,8.2,30.7,19.4,21.5,2,10,16.2,32.2,-0.7,4.4,3.7,0.085,1.9,3.3,5.2,3.8
2023-2024,Jaden McDaniels,23,MIN,72,71,2105,9.4,0.571,0.406,0.126,3.2,8.7,6,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,0.077,-3.3,0.7,-2.6,-0.3
2023-2024,Brandon Ingram,26,NOP,64,64,2103,18.2,0.578,0.238,0.302,2.3,14.7,8.6,26.7,1.2,1.9,12.4,27.2,2.7,2.4,5.1,0.117,1.4,-0.3,1.2,1.7
2023-2024,Scottie Barnes,22,TOR,60,60,2094,19.5,0.566,0.314,0.266,7.3,18.9,13,26.2,1.7,3.7,13.6,24.8,2.3,2,4.3,0.098,2.9,0.8,3.7,3
2023-2024,Jusuf Nurkic,29,PHO,76,76,2078,17.4,0.559,0.144,0.416,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,2,3.8,5.8,0.133,-1,2.1,1.1,1.6
2023-2024,Myles Turner,27,IND,77,77,2076,19.3,0.626,0.356,0.349,6.2,22.9,14.5,6.4,0.9,5.5,9.4,23.4,3.6,2.2,5.8,0.134,1,-0.1,0.9,1.5
2023-2024,Collin Sexton,25,UTA,78,51,2075,19.9,0.607,0.313,0.356,3.8,7.1,5.4,29.5,1.4,0.8,12.1,27.5,5.2,0.3,5.5,0.127,3.8,-1.9,1.9,2
2023-2024,Cam Thomas,22,BRK,66,51,2075,16.1,0.554,0.333,0.281,1.4,10.1,5.6,15.7,1.1,0.7,8.5,30.5,1.3,1.2,2.5,0.058,0.7,-1.9,-1.2,0.4
2023-2024,Cade Cunningham,22,DET,62,62,2074,17.1,0.546,0.287,0.235,1.7,12.9,7.2,37.5,1.3,0.9,14.1,30.8,0.7,1,1.8,0.041,2,-1.6,0.3,1.2
2023-2024,Corey Kispert,24,WAS,80,22,2067,12.8,0.62,0.605,0.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,1.7,0.4,2.1,0.048,-0.2,-2,-2.1,-0.1
2023-2024,Saddiq Bey,24,ATL,63,51,2062,13.1,0.549,0.514,0.291,8.5,13.4,10.9,6,1.2,0.5,6.4,17,2.8,0.7,3.5,0.081,0.1,-2,-1.8,0.1
2023-2024,Kelly Oubre Jr.,28,PHI,68,52,2055,13.5,0.535,0.37,0.264,5,13.5,9.2,7.3,1.8,2.1,8.2,22.4,0.6,2.4,3,0.07,-1.5,-0.7,-2.3,-0.1
2023-2024,Alperen Sengun,21,HOU,63,63,2046,22,0.585,0.113,0.358,9.5,21.5,15.4,25.2,1.8,2.1,12.5,27,3.8,3.1,6.9,0.163,3.1,1.7,4.9,3.5
2023-2024,Jimmy Butler,34,MIA,60,60,2042,22,0.626,0.183,0.579,5.8,11.9,8.8,23.1,1.9,0.8,9.3,24,6.4,2.7,9.1,0.214,3.9,0.7,4.6,3.4
2023-2024,Alex Caruso,29,CHI,71,57,2040,14.5,0.613,0.616,0.177,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,2.3,2.6,4.9,0.115,0.2,2.3,2.5,2.3
2023-2024,Terry Rozier,29,CHO,30,30,1065,19.2,0.574,0.423,0.235,1.7,10.9,6.2,31.3,1.5,1.1,9.7,27.8,1.6,0.4,2,0.09,3.8,-1.5,2.3,1.1
2023-2024,Terry Rozier,29,MIA,31,30,975,15.1,0.531,0.396,0.154,2.1,13.1,7.6,23.4,1.6,0.9,7.9,23.8,0.6,1.2,1.9,0.092,0.4,0.3,0.7,0.7
2023-2024,Keldon Johnson,24,SAS,69,27,2038,14.2,0.565,0.426,0.256,5,15.1,10,14.2,1.2,0.8,9.4,21.9,1.5,1.5,3,0.071,-0.3,-1.4,-1.7,0.2
2023-2024,Kyrie Irving,31,DAL,58,58,2030,21.9,0.608,0.372,0.186,2.4,13.2,7.8,23.8,1.7,1.2,8,28.1,4.9,2,6.9,0.163,4.8,0.1,4.9,3.6
2023-2024,Karl-Anthony Towns,28,MIN,62,62,2026,18.8,0.625,0.344,0.307,5.5,22.6,14.4,15.1,1,1.8,14.1,27.4,2.6,3.6,6.3,0.148,1.6,0.9,2.5,2.3
2023-2024,Jalen Suggs,22,ORL,75,75,2025,14.1,0.602,0.539,0.218,2.8,10.6,6.6,15,2.6,2.2,14.4,19.7,1.5,3.2,4.7,0.112,-0.6,1.6,1,1.5
2023-2024,Keyonte George,20,UTA,75,44,2023,10.4,0.533,0.54,0.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,-0.4,0.1,-0.3,-0.008,-1.5,-2.9,-4.4,-1.2
2023-2024,Josh Giddey,21,OKC,80,80,2011,16.6,0.547,0.287,0.146,6.4,21.5,14.2,26.6,1.2,2,15.7,23.1,1.4,2.9,4.3,0.102,1,0.4,1.5,1.8
2023-2024,Bobby Portis,28,MIL,82,4,2008,17.5,0.581,0.268,0.135,7.9,24.8,16.6,7.8,1.6,1.4,8.6,22.9,2.1,2.6,4.7,0.112,0,-0.8,-0.8,0.6
2023-2024,Aaron Nesmith,24,IND,72,47,1995,12.8,0.631,0.526,0.216,3.6,12,7.8,6.6,1.5,2,8.4,16,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8
2023-2024,Gary Trent Jr.,25,TOR,71,41,1994,12,0.548,0.535,0.113,1.4,9.2,5.2,8.6,1.9,0.4,5,20,0.8,0.9,1.7,0.04,-1.2,-1.4,-2.6,-0.3
2023-2024,Norman Powell,30,LAC,76,3,1990,13.9,0.626,0.5,0.224,0.9,9.8,5.5,5.9,1.1,1,7.3,20,2.8,1.3,4.1,0.099,0.4,-1.2,-0.8,0.6
2023-2024,Immanuel Quickley,24,NYK,30,0,720,17.1,0.598,0.484,0.281,0.8,11.3,6,15.9,1.1,0.4,7.6,24.4,1.6,0.6,2.2,0.149,2.7,-0.2,2.5,0.8
2023-2024,Immanuel Quickley,24,TOR,38,38,1265,16.5,0.564,0.485,0.27,1,15.1,7.9,29.5,1.3,0.5,10.1,23.5,1.9,0.6,2.5,0.095,1.9,-1.3,0.6,0.8
2023-2024,Brandin Podziemski,20,GSW,74,28,1968,13,0.54,0.392,0.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,2.1,2,4.1,0.1,-0.5,0.4,-0.1,0.9
2023-2024,Naz Reid,24,MIN,81,14,1964,16,0.595,0.479,0.174,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,1.1,3.8,4.9,0.12,0.4,1.1,1.5,1.7
2023-2024,Caris LeVert,29,CLE,68,10,1958,14.6,0.524,0.405,0.245,2.3,13.7,8,25.7,1.9,1.6,11.4,23.1,1,2.6,3.6,0.088,-0.6,0.8,0.2,1.1
2023-2024,Royce O'Neale,30,BRK,49,6,1202,10.4,0.544,0.815,0.068,3.4,17.1,10.1,15.5,1.3,2.2,13.2,13.9,0.6,1.2,1.8,0.07,-1.6,0.8,-0.7,0.4
2023-2024,Royce O'Neale,30,PHO,30,8,752,12.3,0.555,0.734,0.061,3.5,19.2,11.7,14.3,1.8,1.8,9.1,13.9,0.8,0.9,1.7,0.108,-0.2,1.4,1.3,0.6
2023-2024,Jonathan Kuminga,21,GSW,74,46,1949,17,0.598,0.191,0.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,2.7,1.9,4.6,0.113,0,-0.4,-0.4,0.8
2023-2024,Donovan Mitchell,27,CLE,55,55,1942,22.1,0.595,0.454,0.292,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,3.6,2.9,6.4,0.159,4.6,1.2,5.8,3.9
2023-2024,Trae Young,25,ATL,54,54,1942,20.3,0.585,0.465,0.404,1.2,7.3,4.2,45.1,1.8,0.5,16.5,30.5,4,0.6,4.6,0.114,4.9,-2.3,2.6,2.2
2023-2024,Dorian Finney-Smith,30,BRK,68,56,1934,10.1,0.546,0.658,0.09,6,12.1,9,7.6,1.4,1.8,10,13.2,1,1.6,2.6,0.065,-2,-0.1,-2,0
2023-2024,Tyus Jones,27,WAS,66,66,1933,16.5,0.578,0.384,0.06,1.1,9,5,34.6,1.7,0.8,8.8,16.3,3.9,0.7,4.5,0.113,1.5,-0.9,0.7,1.3
2023-2024,Jonas Valanciunas,31,NOP,82,82,1925,19.8,0.619,0.167,0.285,10.9,30.6,20.9,13.3,0.8,3.5,12.1,20.8,3.9,3.1,7.1,0.177,0.7,0.5,1.2,1.6
2023-2024,Nickeil Alexander-Walker,25,MIN,82,20,1921,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,0.107,-1.1,1.3,0.2,1.1
2023-2024,Andrew Wiggins,28,GSW,71,59,1920,12.7,0.544,0.326,0.242,6.2,11.8,9,8.6,1.1,1.9,9.2,20.9,1.2,1.6,2.8,0.07,-1.4,-1.2,-2.5,-0.3
