Team,Team Payroll
PHO,"$176,042,453 "
MIN,"$145,793,656 "
BOS,"$178,633,307 "
LAL,"$169,391,473 "
NYK,"$148,987,936 "
DEN,"$162,338,665 "
MIL,"$182,930,771 "
MIA,"$151,408,266 "
DAL,"$177,244,238 "
LAC,"$192,905,421 "
WAS,"$152,008,934 "
NOP,"$148,360,910 "
PHI,"$150,496,913 "
TOR,"$150,992,313 "
GSW,"$192,386,134 "
ATL,"$149,836,313 "
IND,"$125,706,114 "
CHO,"$125,874,047 "
BRK,"$159,566,723 "
SAC,"$139,423,615 "
POR,"$144,997,250 "
OKC,"$148,856,338 "
MEM,"$127,139,520 "
CHI,"$151,964,990 "
CLE,"$151,966,241 "
HOU,"$137,579,793 "
SAS,"$104,545,376 "
UTA,"$148,738,241 "
ORL,"$126,107,324 "
DET,"$129,153,570 "
