Team,Team Payroll
PHO,"$220,708,856 "
MIN,"$203,708,244 "
BOS,"$195,348,491 "
LAL,"$192,057,940 "
NYK,"$191,906,878 "
DEN,"$185,864,258 "
MIL,"$182,559,432 "
MIA,"$176,102,077 "
DAL,"$174,411,922 "
LAC,"$174,124,752 "
WAS,"$173,806,822 "
NOP,"$172,778,396 "
PHI,"$171,336,738 "
TOR,"$170,516,134 "
GSW,"$170,316,619 "
ATL,"$170,057,021 "
IND,"$169,543,082 "
CHO,"$168,575,524 "
BRK,"$168,312,896 "
SAC,"$167,811,057 "
POR,"$167,012,048 "
OKC,"$166,418,720 "
MEM,"$165,903,638 "
CHI,"$165,722,496 "
CLE,"$165,110,486 "
HOU,"$163,038,023 "
SAS,"$162,395,330 "
UTA,"$154,060,898 "
ORL,"$152,308,863 "
DET,"$140,501,660 "
