Player,Salary
Stephen Curry,"$55,761,216 "
Joel Embiid,"$51,415,938 "
Nikola Jokic,"$51,415,938 "
Kevin Durant,"$51,179,021 "
Bradley Beal,"$50,203,930 "
Jaylen Brown,"$49,205,800 "
Devin Booker,"$49,205,800 "
Karl-Anthony Towns,"$49,205,800 "
Paul George,"$49,205,800 "
Kawhi Leonard,"$49,205,800 "
Jimmy Butler,"$48,798,677 "
Giannis Antetokounmpo,"$48,787,676 "
Damian Lillard,"$48,787,676 "
LeBron James,"$48,728,845 "
Zach LaVine,"$44,531,940 "
Rudy Gobert,"$43,827,586 "
Anthony Davis,"$43,219,440 "
Luka Doncic,"$43,031,940 "
Trae Young,"$43,031,940 "
Fred VanVleet,"$42,846,615 "
Anthony Edwards,"$42,176,400 "
Tyrese Haliburton,"$42,176,400 "
Lauri Markkanen,"$42,176,400 "
Pascal Siakam,"$42,176,400 "
Kyrie Irving,"$41,000,000 "
Domantas Sabonis,"$40,500,000 "
Ben Simmons,"$40,011,909 "
Zion Williamson,"$36,725,670 "
Ja Morant,"$36,725,670 "
Darius Garland,"$36,725,670 "
OG Anunoby,"$36,637,932 "
Jamal Murray,"$36,016,200 "
Brandon Ingram,"$36,016,200 "
Shai Gilgeous-Alexander,"$35,859,950 "
Michael Porter Jr.,"$35,859,950 "
Donovan Mitchell,"$35,410,310 "
Tyrese Maxey,"$35,147,000 "
LaMelo Ball,"$35,147,000 "
Jayson Tatum,"$34,848,340 "
Bam Adebayo,"$34,848,340 "
De'Aaron Fox,"$34,848,340 "
Desmond Bane,"$34,005,250 "
Deandre Ayton,"$34,005,126 "
James Harden,"$33,653,846 "
CJ McCollum,"$33,333,333 "
Julius Randle,"$33,073,920 "
Immanuel Quickley,"$32,500,000 "
Khris Middleton,"$31,000,000 "
Jrue Holiday,"$30,000,000 "
Isaiah Hartenstein,"$30,000,000 "
Jerami Grant,"$29,793,104 "
Jordan Poole,"$29,651,786 "
Dejounte Murray,"$29,517,135 "
Devin Vassell,"$29,347,826 "
Kristaps Porzingis,"$29,268,293 "
Tyler Herro,"$29,000,000 "
Nic Claxton,"$27,556,817 "
Miles Bridges,"$27,173,913 "
John Collins,"$26,580,000 "
Andrew Wiggins,"$26,276,786 "
Anfernee Simons,"$25,892,857 "
RJ Barrett,"$25,794,643 "
Tobias Harris,"$25,365,854 "
Jaren Jackson Jr.,"$25,257,798 "
Jonathan Isaac,"$25,000,000 "
Jalen Brunson,"$24,960,001 "
Terry Rozier,"$24,924,126 "
