Age,Minutes,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,BPM,Availability%,Salary%
21,2217,0.536,6.6,20.2,1.2,1.6,14.7,24.9,-3.1,93.9,5.49
24,2212,0.604,5.5,15.6,1.5,1.7,11.9,17.2,-0.8,92.68,3.91
23,2207,0.61,10.2,26.5,1.7,2.1,12.8,29.7,3.8,85.37,20.31
36,2193,0.627,5.6,28.4,2.0,0.7,12.8,16.0,3.4,92.68,14.64
20,2193,0.513,11.7,16.0,1.3,1.5,14.3,18.8,-3.4,90.24,3.72
31,1336,0.586,7.1,12.9,1.5,1.8,10.4,18.6,0.2,63.41,12.96
31,824,0.566,6.8,17.1,1.6,1.2,10.6,20.2,0.8,39.02,11.6
32,2159,0.592,7.4,21.4,1.4,1.9,9.0,24.7,3.1,80.49,21.39
30,1474,0.53,5.9,27.5,1.3,0.6,9.8,18.6,-1.3,58.54,1.0
30,678,0.586,3.9,12.2,0.9,1.7,15.1,12.2,-3.2,34.15,0.92
24,2138,0.591,7.3,30.8,1.7,0.3,15.1,15.2,-0.4,93.9,6.93
25,1242,0.56,7.4,8.2,0.9,1.9,13.4,13.6,-3.4,57.32,7.35
25,888,0.618,9.4,15.7,1.1,1.3,14.7,19.0,-1.5,35.37,8.76
24,2124,0.552,9.4,13.1,1.8,4.7,10.6,30.4,0.4,80.49,16.66
31,2120,0.542,6.5,9.2,1.0,0.2,6.2,22.6,-2.9,96.34,10.67
24,2116,0.629,18.2,10.4,1.1,6.2,12.2,15.6,1.2,86.59,6.21
22,2113,0.574,7.6,13.9,1.8,0.9,12.4,18.7,-1.9,91.46,1.98
29,2108,0.579,6.1,7.2,1.3,1.4,10.8,13.8,-2.8,95.12,4.39
20,2106,0.565,19.4,21.5,2.0,10.0,16.2,32.2,5.2,86.59,8.51
23,2105,0.571,6.0,6.8,1.5,1.8,11.6,15.7,-2.6,87.8,2.34
26,2103,0.578,8.6,26.7,1.2,1.9,12.4,27.2,1.2,78.05,20.21
22,2094,0.566,13.0,26.2,1.7,3.7,13.6,24.8,3.7,73.17,4.91
29,2078,0.559,22.8,19.9,1.9,3.4,19.1,19.1,1.1,92.68,8.71
27,2076,0.626,14.5,6.4,0.9,5.5,9.4,23.4,0.9,93.9,14.1
25,2075,0.607,5.4,29.5,1.4,0.8,12.1,27.5,1.9,95.12,12.95
22,2075,0.554,5.6,15.7,1.1,0.7,8.5,30.5,-1.2,80.49,1.45
22,2074,0.546,7.2,37.5,1.3,0.9,14.1,30.8,0.3,75.61,7.94
24,2067,0.62,5.8,10.7,0.9,0.6,10.2,19.6,-2.1,97.56,2.47
24,2062,0.549,10.9,6.0,1.2,0.5,6.4,17.0,-1.8,76.83,2.86
28,2055,0.535,9.2,7.3,1.8,2.1,8.2,22.4,-2.3,82.93,1.21
21,2046,0.585,15.4,25.2,1.8,2.1,12.5,27.0,4.9,76.83,2.37
34,2042,0.626,8.8,23.1,1.9,0.8,9.3,24.0,4.6,73.17,25.51
29,2040,0.613,7.5,16.4,2.9,3.5,14.9,14.7,2.5,86.59,5.71
29,1065,0.574,6.2,31.3,1.5,1.1,9.7,27.8,2.3,36.59,15.77
29,975,0.531,7.6,23.4,1.6,0.9,7.9,23.8,0.7,37.8,12.54
24,2038,0.565,10.0,14.2,1.2,0.8,9.4,21.9,-1.7,84.15,14.0
31,2030,0.608,7.8,23.8,1.7,1.2,8.0,28.1,4.9,70.73,22.08
28,2026,0.625,14.4,15.1,1.0,1.8,14.1,27.4,2.5,75.61,21.64
22,2025,0.602,6.6,15.0,2.6,2.2,14.4,19.7,1.0,91.46,5.47
20,2023,0.533,5.7,23.1,0.9,0.3,17.1,22.8,-4.4,91.46,2.91
21,2011,0.547,14.2,26.6,1.2,2.0,15.7,23.1,1.5,97.56,4.05
28,2008,0.581,16.6,7.8,1.6,1.4,8.6,22.9,-0.8,100.0,6.25
24,1995,0.631,7.8,6.6,1.5,2.0,8.4,16.0,-0.5,87.8,3.79
25,1994,0.548,5.2,8.6,1.9,0.4,5.0,20.0,-2.6,86.59,11.38
30,1990,0.626,5.5,5.9,1.1,1.0,7.3,20.0,-0.8,92.68,8.94
24,720,0.598,6.0,15.9,1.1,0.4,7.6,24.4,2.5,36.59,2.53
24,1265,0.564,7.9,29.5,1.3,0.5,10.1,23.5,0.6,46.34,2.56
20,1968,0.54,11.7,18.1,1.5,0.6,12.2,15.4,-0.1,90.24,1.6
24,1964,0.595,12.2,8.3,1.6,3.3,10.8,23.1,1.5,98.78,7.78
29,1958,0.524,8.0,25.7,1.9,1.6,11.4,23.1,0.2,82.93,9.22
30,1202,0.544,10.1,15.5,1.3,2.2,13.2,13.9,-0.7,59.76,6.13
30,752,0.555,11.7,14.3,1.8,1.8,9.1,13.9,1.3,36.59,4.9
21,1949,0.598,9.8,12.5,1.4,1.7,10.9,24.1,-0.4,90.24,2.87
27,1942,0.595,8.1,28.3,2.6,1.4,11.1,31.4,5.8,67.07,19.87
25,1942,0.585,4.2,45.1,1.8,0.5,16.5,30.5,2.6,65.85,25.17
30,1934,0.546,9.0,7.6,1.4,1.8,10.0,13.2,-2.0,82.93,8.99
27,1933,0.578,5.0,34.6,1.7,0.8,8.8,16.3,0.7,80.49,9.28
31,1925,0.619,20.9,13.3,0.8,3.5,12.1,20.8,1.2,100.0,9.22
25,1921,0.578,4.9,14.5,1.6,1.9,11.8,14.8,0.2,100.0,2.82
28,1920,0.544,9.0,8.6,1.1,1.9,9.2,20.9,-2.5,86.59,11.62
29,1905,0.612,5.1,15.1,1.2,0.8,11.7,19.0,-0.9,82.93,10.25
26,1901,0.621,16.7,6.1,1.0,2.9,10.6,20.4,-0.9,82.93,18.95
24,1901,0.56,4.5,29.4,1.9,0.3,16.1,25.3,-1.0,69.51,20.38
25,1896,0.67,18.5,13.5,2.3,4.2,17.6,12.0,3.5,91.46,5.6
35,1893,0.58,3.6,10.0,1.7,1.4,10.2,16.5,-1.7,82.93,1.65
22,1889,0.584,14.1,15.4,1.7,2.2,11.6,19.1,1.2,68.29,1.84
23,1887,0.599,6.1,9.5,1.5,1.6,9.1,13.9,-1.1,84.15,5.35
29,1883,0.59,22.4,6.9,1.1,5.1,9.5,17.3,0.1,89.02,12.95
27,1873,0.615,7.7,8.5,1.1,0.7,8.2,13.6,-1.5,91.46,5.25
25,1872,0.564,6.3,28.9,1.2,1.9,13.2,25.9,0.6,87.8,6.48
27,981,0.568,8.9,12.3,1.7,0.6,10.5,16.7,-2.3,40.24,14.79
27,885,0.557,8.1,14.3,1.3,0.9,13.3,16.4,-4.5,41.46,13.49
26,1861,0.586,7.2,31.2,1.5,1.8,10.5,27.9,4.1,71.95,18.7
23,766,0.536,8.1,12.8,0.8,1.1,9.6,27.6,-2.0,31.71,14.48
23,1072,0.615,10.5,19.5,0.9,1.1,12.3,25.7,0.1,39.02,14.65
30,1831,0.583,8.5,7.5,0.8,0.9,9.9,17.6,-2.9,100.0,5.27
29,1830,0.573,5.8,13.8,1.2,1.7,10.5,25.7,-0.1,65.85,16.69
25,1826,0.628,8.9,6.3,1.1,1.2,5.9,18.5,-0.9,82.93,9.27
26,1825,0.597,7.8,20.7,1.1,0.3,8.5,17.2,1.0,100.0,2.16
26,1820,0.631,13.6,9.5,1.3,1.3,7.1,25.0,3.6,67.07,12.91
33,1817,0.521,4.7,23.0,1.2,0.6,11.7,21.7,-3.2,100.0,2.76
23,1817,0.545,10.1,19.8,1.7,1.9,12.8,23.7,0.1,98.78,4.18
25,1192,0.707,16.2,8.0,1.7,6.6,11.7,13.9,0.9,54.88,8.22
25,623,0.769,17.6,11.1,1.6,7.9,11.7,16.4,5.9,35.37,7.39
26,1794,0.671,19.7,7.5,0.6,4.2,11.8,16.4,0.8,82.93,5.43
25,1784,0.587,19.1,8.8,1.5,2.1,11.2,21.1,0.3,67.07,19.64
26,1783,0.592,7.7,5.5,1.4,2.5,10.5,14.9,-1.5,92.68,1.2
30,1782,0.513,8.7,25.0,2.0,2.3,15.6,14.5,1.1,96.34,5.54
20,1777,0.653,22.2,12.7,0.9,2.3,16.7,18.5,-0.1,74.39,3.11
30,1767,0.607,7.4,22.5,1.4,1.3,14.2,22.7,0.4,64.63,24.11
19,1765,0.489,6.2,29.9,1.3,0.7,19.3,26.5,-5.8,75.61,5.91
26,1759,0.717,17.2,4.5,0.7,3.9,13.8,13.3,-2.3,81.71,3.55
32,1019,0.677,13.7,29.6,1.8,1.1,21.3,15.6,2.6,60.98,9.12
32,740,0.644,11.7,24.8,2.4,2.1,20.4,20.0,0.7,34.15,7.48
28,1756,0.531,9.1,11.8,1.3,1.6,11.3,17.3,-2.0,78.05,3.84
26,1741,0.629,8.6,6.2,1.1,1.3,5.3,15.0,1.2,96.34,1.03
37,1740,0.65,12.8,12.3,1.1,3.1,10.0,12.0,3.6,79.27,5.35
23,1739,0.547,11.0,7.2,1.9,1.7,14.9,13.8,-3.1,85.37,0.68
25,1730,0.677,10.5,9.4,1.3,2.0,10.0,16.8,1.5,100.0,4.57
19,1715,0.543,8.0,8.2,1.6,2.3,15.1,14.2,-4.2,76.83,4.38
26,900,0.598,6.5,11.4,1.5,1.3,11.2,18.2,-1.6,32.93,11.43
26,802,0.591,7.1,6.2,2.5,2.7,12.1,16.8,0.6,28.05,11.3
21,1700,0.546,16.7,6.2,1.2,1.2,10.2,16.3,-3.3,87.8,1.04
24,1697,0.573,4.7,20.0,1.8,0.3,15.6,16.0,-2.2,82.93,1.43
20,1692,0.612,6.2,8.9,2.2,2.0,8.9,12.9,0.1,100.0,3.26
